Stock_Code,Date,Mean_Sentiment_Score
CIPLA,6/14/2022,0.5574
CIPLA,6/15/2022,0
CIPLA,6/17/2022,0
CIPLA,6/18/2022,0
CIPLA,6/19/2022,0
CIPLA,6/27/2022,0
CIPLA,6/28/2022,0
CIPLA,6/30/2022,0.4019
CIPLA,7/4/2022,0
CIPLA,7/5/2022,0
CIPLA,7/6/2022,0.2023
CIPLA,7/7/2022,0.2997
CIPLA,7/12/2022,0
CIPLA,7/14/2022,0.1468
CIPLA,7/15/2022,0
CIPLA,7/16/2022,0
CIPLA,7/17/2022,0.5106
CIPLA,7/24/2022,0
CIPLA,7/26/2022,0
CIPLA,7/28/2022,-0.2732
CIPLA,7/29/2022,0
COALINDIA,6/12/2022,0
COALINDIA,6/15/2022,0.34
COALINDIA,6/16/2022,0.4019
COALINDIA,6/17/2022,0
COALINDIA,6/19/2022,0
COALINDIA,6/21/2022,0.6712
COALINDIA,6/22/2022,0
COALINDIA,6/23/2022,0.7034
COALINDIA,6/24/2022,0
COALINDIA,6/25/2022,0
COALINDIA,6/26/2022,0
COALINDIA,6/27/2022,0.076533333
COALINDIA,6/28/2022,0
COALINDIA,6/29/2022,0.148
COALINDIA,6/30/2022,0.5574
COALINDIA,7/1/2022,-0.296
COALINDIA,7/3/2022,-0.254533333
COALINDIA,7/4/2022,0.4267
COALINDIA,7/5/2022,-0.2732
COALINDIA,7/6/2022,-0.296
COALINDIA,7/7/2022,-0.3818
COALINDIA,7/8/2022,0
COALINDIA,7/11/2022,0.068
COALINDIA,7/12/2022,0.1779
COALINDIA,7/18/2022,0.4019
COALINDIA,7/20/2022,0
COALINDIA,7/25/2022,0
COALINDIA,7/27/2022,0
DIVISLAB,6/23/2021,0.4019
DIVISLAB,6/28/2021,0.3818
DIVISLAB,6/30/2021,0.3456
DIVISLAB,7/2/2021,0.5994
DIVISLAB,7/16/2021,0.2775
DIVISLAB,7/19/2021,0.4019
DIVISLAB,7/26/2021,-0.1779
DIVISLAB,7/27/2021,-0.3182
DIVISLAB,9/8/2021,0.4643
DIVISLAB,10/4/2021,0.5994
DIVISLAB,10/27/2021,0.4019
