,Stock_FullName,Stock_Code,Sector,TickerTapePageUrl,TickerTapeApiUrl,InvestingUrl
32,Nestle India Ltd,NESTLEIND,Consumer Staples,https://tickertape.in/stocks/nestle-india-NEST/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/NEST?count=10&offset=0&types=news-article,opinion-article",
33,Oil and Natural Gas Corporation Ltd,ONGC,Energy,https://tickertape.in/stocks/oil-and-natural-gas-corporation-ONGC/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/ONGC?count=10&offset=0&types=news-article,opinion-article",
34,NTPC Ltd,NTPC,Utilities,https://tickertape.in/stocks/ntpc-NTPC/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/NTPC?count=10&offset=0&types=news-article,opinion-article",
35,Power Grid Corporation of India Ltd,POWERGRID,Utilities,https://tickertape.in/stocks/power-grid-corporation-of-india-PGRD/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/PGRD?count=10&offset=0&types=news-article,opinion-article",
36,Reliance Industries Ltd,RELIANCE,Energy,https://tickertape.in/stocks/reliance-industries-RELI/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/RELI?count=10&offset=0&types=news-article,opinion-article",
37,State Bank of India,SBIN,Financials,https://tickertape.in/stocks/state-bank-of-india-SBI/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/SBI?count=10&offset=0&types=news-article,opinion-article",
38,Shree Cement Ltd,SHREECEM,Materials,https://tickertape.in/stocks/shree-cement-SHCM/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/SHCM?count=10&offset=0&types=news-article,opinion-article",
39,SBI Life Insurance Company Ltd,SBILIFE,Financials,https://tickertape.in/stocks/sbi-life-insurance-company-SBIL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/SBIL?count=10&offset=0&types=news-article,opinion-article",
40,Sun Pharmaceutical Industries Ltd,SUNPHARMA,Health Care,https://tickertape.in/stocks/sun-pharmaceutical-industries-SUN/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/SUN?count=10&offset=0&types=news-article,opinion-article",
41,Tata Steel Ltd,TATASTEEL,Materials,https://tickertape.in/stocks/tata-steel-TISC/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/TISC?count=10&offset=0&types=news-article,opinion-article",
42,Tata Consumer Products Ltd,TATACONSUM,Consumer Staples,https://tickertape.in/stocks/tata-consumer-products-TACN/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/TACN?count=10&offset=0&types=news-article,opinion-article",
43,Tata Motors Ltd,TATAMOTORS,Consumer Discretionary,https://tickertape.in/stocks/tata-motors-TAMO/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/TAMO?count=10&offset=0&types=news-article,opinion-article",
44,Tata Consultancy Services Ltd,TCS,Information Technology,https://tickertape.in/stocks/tata-consultancy-services-TCS/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/TCS?count=10&offset=0&types=news-article,opinion-article",
45,Tech Mahindra Ltd,TECHM,Information Technology,https://tickertape.in/stocks/tech-mahindra-TEML/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/TEML?count=10&offset=0&types=news-article,opinion-article",
46,Titan Company Ltd,TITAN,Consumer Discretionary,https://tickertape.in/stocks/titan-company-TITN/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/TITN?count=10&offset=0&types=news-article,opinion-article",
47,UPL Ltd,UPL,Materials,https://tickertape.in/stocks/upl-UPLL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/UPLL?count=10&offset=0&types=news-article,opinion-article",
48,UltraTech Cement Ltd,ULTRACEMCO,Materials,https://tickertape.in/stocks/ultratech-cement-ULTC/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/ULTC?count=10&offset=0&types=news-article,opinion-article",
49,Wipro Ltd,WIPRO,Information Technology,https://tickertape.in/stocks/wipro-WIPR/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/WIPR?count=10&offset=0&types=news-article,opinion-article",
