Date,stock_code,Sentiment_Score
7/27/2022,LT,0.033333333
7/27/2022,LT,0.424242424
7/27/2022,LT,0.424242424
7/27/2022,LT,0
7/27/2022,LT,0
7/27/2022,LT,0.025
7/27/2022,LT,0
7/27/2022,LT,0.025
7/27/2022,LT,0.025
7/27/2022,LT,-0.04047619
7/27/2022,LT,0
7/27/2022,LT,0.025
7/27/2022,LT,0
7/27/2022,LT,0
7/27/2022,LT,0.033333333
7/27/2022,LT,0
7/27/2022,LT,0.5
7/27/2022,LT,0.416666667
7/27/2022,LT,0.08
7/27/2022,LT,0.5
7/27/2022,M&M,-0.2
7/27/2022,M&M,0.8
7/27/2022,M&M,0.7
7/27/2022,M&M,-0.2
7/27/2022,M&M,-0.2
7/27/2022,M&M,-0.2
7/27/2022,M&M,0.6953125
7/27/2022,M&M,-0.2
7/27/2022,M&M,0.211111111
7/27/2022,M&M,-0.2
7/27/2022,M&M,-0.2
7/27/2022,M&M,0.325
7/27/2022,M&M,-0.2
7/27/2022,M&M,-0.2
7/27/2022,M&M,-0.2
7/27/2022,M&M,-0.077777778
7/27/2022,M&M,0.6
7/27/2022,M&M,0.5
7/27/2022,M&M,-0.35
7/27/2022,M&M,0
7/27/2022,M&M,0.5
7/27/2022,M&M,-0.25
7/27/2022,M&M,0
7/27/2022,M&M,-0.1596875
7/27/2022,M&M,0.25
7/27/2022,M&M,0
7/27/2022,M&M,0.125
7/27/2022,M&M,-0.166666667
7/27/2022,M&M,0.25
7/27/2022,M&M,-0.2175
7/27/2022,M&M,0
7/27/2022,M&M,0
7/27/2022,M&M,-0.066666667
7/27/2022,M&M,-0.432291667
7/27/2022,M&M,0.089047619
7/27/2022,M&M,0.35
7/27/2022,M&M,0
7/27/2022,M&M,0
7/27/2022,M&M,-0.083333333
7/27/2022,M&M,-0.077777778
7/27/2022,M&M,0.6
7/27/2022,M&M,-0.142361111
7/27/2022,M&M,0.196875
7/27/2022,M&M,0.45
7/27/2022,M&M,0
